source_id,sink_id,co2_transported
4409487,10912,108466.0
25452626,10912,107274.0
25451395,10909,104290.0
452818,10912,101682.0
25455488,10912,100635.0
447602,10912,100379.0
714514,10909,99776.0
451793,10912,96338.0
448884,10911,94903.0
451032,10912,89466.0
448375,10912,89364.0
449365,10912,87604.0
447369,10912,81581.0
25451391,10909,81157.0
452362,10911,80825.0
449346,10912,80701.0
25454920,10074,79261.0
25452475,Atmosphere,76914.0
25455610,10909,74885.0
450032,10909,73707.0
450439,10911,71704.0
448214,10912,69731.0
448224,Atmosphere,69004.0
450465,10911,67820.0
451499,Atmosphere,67608.0
449345,10912,65810.0
25453752,10909,64060.0
4409488,10912,60489.0
25455614,10912,60489.0
449356,10912,58834.0
452217,10909,58766.0
25455627,Atmosphere,58148.0
449843,10074,57361.0
25452741,10909,56941.0
449490,10912,56395.0
25452416,Atmosphere,56316.0
25453731,10912,56031.0
716975,Atmosphere,55668.0
450467,Atmosphere,54888.0
25455628,10912,51517.0
25452461,10912,50218.0
25455625,10912,50059.0
449343,10909,48235.0
25452178,10910,47727.0
25455615,Atmosphere,46253.0
25454076,10909,45627.0
449348,10911,45627.0
449143,10909,44976.0
25452212,10912,39629.0
451530,10910,39110.0
448597,10911,37784.0
448376,10912,36893.0
25453823,10910,36502.0
448068,10912,32590.0
4405775,10912,32069.0
452808,10912,30844.0
452816,10912,30375.0
25455406,10912,29200.0
25451178,10911,27246.0
449366,10074,26074.0
25455569,10911,26074.0
25452905,10912,25698.0
451304,10912,24314.0
25451362,10912,23660.0
452977,10909,20715.0
25455570,10910,19685.0
25455630,10912,18616.0
25454110,10912,18263.0
25455622,10912,18251.0
25455623,Atmosphere,17467.0
25454193,10912,14861.0
25452314,10912,13037.0
