source_id,sink_id,co2_transported,dijkstra_path
1896974,10283,1148292.6,"['source_1896974', 'source_1896942', 'source_1897030', 'source_32438517', 'source_1897040', 'source_1897007', 'source_32438630', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
1897006,10283,1129641.4,"['source_1897006', 'source_1897062', 'source_1896919', 'source_1896990', 'source_1897020', 'source_1896975', 'source_1897026', 'source_1897099', 'source_42547359', 'source_32438653', 'sink_10283']"
32438593,10283,1126140.1,"['source_32438593', 'source_1896974', 'source_1896942', 'source_1897030', 'source_32438517', 'source_1897040', 'source_1897007', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
1897067,10284,1121182.2,"['source_1897067', 'source_1897063', 'source_1896986', 'source_1897110', 'source_1897098', 'sink_10284']"
1896922,10283,1119185.2,"['source_1896922', 'source_1896913', 'source_1896949', 'source_1896976', 'source_1897060', 'source_32438585', 'source_1896985', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
1896989,10285,1111900.1,"['source_1896989', 'source_1897009', 'source_1897070', 'source_1897065', 'source_1896918', 'source_1896962', 'sink_10285']"
32438616,10278,1108372.9,"['source_32438616', 'source_42547363', 'sink_10278']"
1897097,10283,1106862.4,"['source_1897097', 'source_1896949', 'source_1897024', 'source_1896976', 'source_1897060', 'source_32438585', 'source_1896985', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
1896982,10285,1065533.8,"['source_1896982', 'source_42547331', 'source_1896920', 'source_1897058', 'source_1896972', 'source_1897057', 'source_1897135', 'source_1896934', 'sink_10285']"
1896941,10285,1058295.0,"['source_1896941', 'source_42547298', 'source_42547331', 'source_1896920', 'source_1897056', 'source_1897057', 'source_1897135', 'source_1896934', 'sink_10285']"
1897058,10285,1057536.7,"['source_1897058', 'source_1896972', 'source_1897121', 'source_1896904', 'source_1896920', 'source_1896982', 'source_42547435', 'source_1896989', 'source_1897009', 'sink_10285']"
42547363,10278,1012433.0,"['source_42547363', 'source_42547251', 'sink_10278']"
1897034,10281,1010282.6,"['source_1897034', 'source_1896947', 'source_32438592', 'source_1896924', 'source_1896930', 'sink_10281']"
32438652,10283,1009339.8,"['source_32438652', 'source_42547381', 'source_1896929', 'source_1896948', 'source_32438540', 'source_1897096', 'sink_10283']"
32438588,10283,1008650.7,"['source_32438588', 'source_1897064', 'source_1897023', 'source_1896929', 'source_32438547', 'source_1897096', 'sink_10283']"
1897098,10284,961896.22,"['source_1897098', 'sink_10284']"
1897030,10283,961335.68,"['source_1897030', 'source_32438517', 'source_32438641', 'source_1897040', 'source_1897007', 'source_32438630', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
42547391,10278,954579.67,"['source_42547391', 'source_1896988', 'source_1897045', 'source_1896957', 'sink_10278']"
42547380,10283,940117.76,"['source_42547380', 'source_42547359', 'source_32438630', 'source_1897007', 'source_1897040', 'source_32438641', 'source_1897030', 'source_1897059', 'source_32438593', 'sink_10283']"
1897100,10283,928201.16,"['source_1897100', 'source_32438641', 'source_1897040', 'source_1897007', 'source_32438630', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
1897069,10278,888696.25,"['source_1897069', 'source_1896957', 'source_42547251', 'sink_10278']"
1896902,10285,873721.89,"['source_1896902', 'source_1897121', 'source_1896904', 'source_1896920', 'source_1896982', 'source_42547435', 'source_1896989', 'source_1897009', 'sink_10285']"
42547359,10283,867799.7,"['source_42547359', 'source_42547380', 'source_32438630', 'source_1897007', 'source_1897040', 'source_32438641', 'source_1897030', 'source_1897059', 'source_32438593', 'sink_10283']"
1897046,10285,867799.7,"['source_1897046', 'source_1897070', 'source_1897065', 'source_1896918', 'source_1896962', 'source_1896980', 'sink_10285']"
1896929,10283,864795.43,"['source_1896929', 'source_1897023', 'source_1897064', 'source_32438588', 'source_1897029', 'source_32438555', 'sink_10283']"
1897009,10285,862992.34,"['source_1897009', 'source_1897046', 'source_1897070', 'source_1897065', 'source_1896918', 'source_1896962', 'sink_10285']"
1897023,10283,860297.25,"['source_1897023', 'source_1897064', 'source_32438588', 'source_1897029', 'source_32438652', 'source_32438555', 'sink_10283']"
1897012,10278,853793.72,"['source_1897012', 'source_1897069', 'sink_10278']"
1896951,10281,822820.2,"['source_1896951', 'source_1897035', 'sink_10281']"
1897057,10285,814250.96,"['source_1897057', 'source_1897135', 'source_1897056', 'source_1896920', 'source_42547331', 'source_1896982', 'source_42547435', 'source_1897065', 'sink_10285']"
1896954,10280,813367.83,"['source_1896954', 'sink_10280']"
1897024,10283,812372.7,"['source_1897024', 'source_1896949', 'source_1897097', 'source_1896976', 'source_1897060', 'source_32438585', 'source_1896985', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
1896957,10278,781409.0,"['source_1896957', 'source_1897069', 'sink_10278']"
42547298,10278,774093.63,"['source_42547298', 'source_42547435', 'source_1896982', 'source_1896904', 'source_1896902', 'source_1896983', 'source_1897043', 'source_1896988', 'source_1896957', 'sink_10278']"
1896975,10283,771788.13,"['source_1896975', 'source_1897020', 'source_1896990', 'source_1897062', 'source_1896979', 'source_1897059', 'source_1896942', 'source_1897100', 'sink_10283']"
1896980,10285,767483.32,"['source_1896980', 'source_1896962', 'source_1896918', 'source_1897065', 'source_1897070', 'source_1897046', 'source_1897009', 'source_1897011', 'source_1896977', 'sink_10285']"
