id,emission,lat,lon
449491,772130.0,48.8138,9.2192
449659,738060.0,51.6729,7.7157
448065,716230.0,52.5117,13.4209
452764,713350.0,51.4597,6.7306
4403647,675600.0,51.2247,6.8155
449352,661220.0,53.1287,8.6864
4404195,614430.0,51.3774,6.6587
447506,605420.0,52.4252,13.3098
449134,604860.0,49.4986,8.434
4402278,601530.0,50.8578,12.9239
715279,595950.0,51.2913,11.9997
25455182,586630.0,50.8616,6.847
449353,565180.0,51.3903,6.748
4403640,563670.0,52.2786,10.5147
448160,551100.0,51.0178,6.9643
448887,529270.0,53.1897,8.4087
716140,527520.0,53.0592,8.8732
447488,522230.0,50.8329,6.9653
25453219,522070.0,52.1853,11.6791
25453482,519400.0,50.6167,7.1333
448067,516470.0,52.5238,13.5235
25451393,506690.0,51.2918,11.9464
449363,504830.0,52.3729,9.7142
447780,493350.0,51.0421,13.7086
716166,477350.0,49.2237,7.0149
25451636,440530.0,47.7524,11.8398
25450277,432150.0,49.5229,8.4193
4403651,431410.0,54.805,9.4324
25452619,428920.0,51.7603,14.3698
449702,426440.0,51.2689,7.2003
447766,424860.0,50.8556,6.9791
25451235,424860.0,51.4114,7.491
449514,411880.0,50.8969,11.5857
449151,406720.0,52.1546,10.3905
25450298,405770.0,52.5371,13.3458
448066,392140.0,52.49,13.496
25451685,383260.0,54.2903,9.7227
25452999,379070.0,50.0918,8.5312
25452204,371500.0,51.2912,12.0001
714983,351740.0,50.0918,8.5313
25455835,350410.0,54.3411,10.1781
449657,348590.0,52.2302,13.3019
449933,346440.0,52.1627,14.6333
449650,323600.0,52.3942,12.4181
447778,313900.0,53.6361,9.5141
447941,313440.0,52.1951,8.6489
25452168,312350.0,51.3512,12.3784
25452057,309300.0,51.5573,7.1641
4403408,308400.0,50.8622,6.8354
25452448,308400.0,51.5978,7.0078
448789,308360.0,49.0521,8.3213
25453331,299900.0,51.3249,11.9958
4404393,277160.0,51.0051,6.9488
25453474,275300.0,50.0653,8.769
25452456,273750.0,52.5896,13.5586
447505,262800.0,52.5219,13.3111
449347,261270.0,50.7338,7.0805
4402419,260870.0,47.8057,10.9021
449673,260740.0,48.1812,12.8471
449379,259590.0,49.8,9.9231
25453174,259270.0,53.5209,9.9348
452430,254900.0,51.0692,12.1959
451538,248450.0,48.8007,12.8682
25453215,244910.0,52.4118,9.853
25450931,243480.0,50.1113,8.7454
4409254,231280.0,50.867,6.836
449309,227170.0,51.8026,11.7515
449303,225120.0,51.8644,11.5729
450594,223550.0,51.6291,12.3045
452875,223250.0,49.995,8.3966
449375,222640.0,54.1274,12.0844
449372,215690.0,48.8973,8.7245
449907,215650.0,51.0172,11.0402
449371,205330.0,51.9501,7.6413
447401,199430.0,49.8293,9.1482
4406042,196630.0,49.3111,12.0858
25453427,195890.0,51.4591,11.9929
25452853,185910.0,49.2139,6.8345
449368,182510.0,48.1889,11.5957
25453863,178740.0,54.1446,12.1412
447490,178050.0,51.0222,6.9863
449671,173390.0,52.4317,10.787
447487,171410.0,51.4762,13.8891
25457333,169480.0,51.5136,7.5251
451306,165990.0,50.8455,12.0788
448593,163410.0,51.5237,11.9434
4403416,162857.0,49.2494,6.8806
25451430,161270.0,51.6804,7.7442
449359,156950.0,50.0856,8.6279
449670,156950.0,51.2531,9.4379
449697,156480.0,52.5621,7.3027
448704,154970.0,53.5745,13.2951
25451690,154190.0,51.2785,9.4846
25451392,151750.0,51.1663,12.0764
25453272,149930.0,49.3512,6.7509
25454292,147510.0,50.4349,7.4321
25452670,146090.0,50.9405,6.9607
452218,146020.0,48.6972,8.9992
448061,146020.0,49.4386,11.0606
25453644,143060.0,49.2282,7.5955
449378,136300.0,53.5779,11.3965
25453584,134100.0,47.8906,7.6161
449360,130000.0,52.3182,14.5315
449310,124090.0,51.5632,6.5777
449816,122537.0,49.8857,8.6493
25452417,120063.0,48.7508,9.1103
25452145,119954.0,51.2793,9.4834
451033,115182.0,49.07,8.307
25455632,111738.0,48.1851,12.7361
450048,109511.0,52.3661,13.1125
4409487,108466.0,48.906,11.9067
25452626,107274.0,49.3386,7.17
25451395,104290.0,51.6245,12.3051
